XAcc;YAcc;ZAcc;XGyro;YGyro;ZGyro
1.27;1.00;-10.95;-0.01;-0.04;-0.03
1.35;0.99;-10.84;-0.02;-0.02;-0.05
1.03;0.94;-10.89;-0.03;-0.08;-0.02
0.61;0.86;-10.92;-0.13;-0.07;0.30
0.72;0.99;-10.98;-0.13;-0.04;0.84
1.74;0.65;-10.75;0.02;-0.20;1.02
2.08;1.03;-10.54;-0.11;0.05;0.67
2.46;0.80;-11.00;-0.05;-0.06;0.24
2.46;0.75;-11.05;-0.12;0.01;-0.23
2.19;1.48;-10.62;-0.06;-0.05;-0.82
1.40;1.13;-10.78;0.02;0.17;-0.88
1.22;1.30;-10.85;0.04;0.14;-0.68
1.46;1.42;-10.82;0.07;0.02;-0.41
1.19;1.27;-11.08;0.07;-0.00;-0.28
1.25;1.08;-10.97;0.00;-0.08;-0.13
0.50;0.99;-11.13;-0.05;0.01;0.10
0.65;1.14;-11.04;-0.18;-0.19;0.47
1.63;1.40;-10.47;-0.17;-0.14;0.71
1.60;1.41;-10.73;0.00;-0.02;0.68
2.63;1.33;-10.50;-0.03;-0.10;0.60
2.72;1.05;-10.91;-0.05;0.05;0.34
2.32;1.28;-10.90;0.02;0.06;0.02
2.85;1.28;-10.85;-0.04;0.03;-0.27
2.73;1.33;-10.50;0.01;0.06;-0.79
1.63;1.40;-10.72;0.08;0.07;-0.79
1.61;1.37;-10.65;0.09;0.13;-0.58
1.12;1.33;-10.85;0.10;-0.06;-0.49
1.12;1.31;-10.88;0.04;0.01;-0.26
1.09;1.29;-10.88;-0.06;-0.10;0.05
0.55;1.19;-11.07;-0.13;-0.15;0.29
1.42;1.47;-10.75;-0.15;-0.01;0.70
1.70;1.55;-10.70;-0.09;-0.06;0.70
2.21;1.46;-10.76;-0.14;-0.27;0.58
2.54;1.24;-10.64;-0.00;0.03;0.49
2.47;1.38;-10.84;-0.03;-0.07;0.03
2.49;1.34;-10.79;-0.05;-0.06;-0.18
2.43;1.55;-10.33;0.01;0.05;-0.71
1.39;1.45;-10.84;0.05;0.11;-0.81
1.33;1.39;-10.82;0.09;0.08;-0.66
0.87;1.38;-10.89;0.07;-0.08;-0.39
;;;;;
;;;;;
;;;;;
