XAcc;YAcc;ZAcc;XGyro;YGyro;ZGyro
3.47;0.47;-10.54;-0.09;-0.07;-0.02
3.48;0.96;-10.78;-0.05;-0.05;-0.09
3.62;2.07;-10.22;-0.23;0.15;-0.35
3.49;1.51;-10.77;-0.51;-0.25;-0.37
2.74;0.88;-10.40;0.25;-0.23;-0.03
2.55;1.53;-10.60;0.15;-0.10;-0.07
2.81;1.37;-10.64;0.09;-0.22;0.07
2.77;1.24;-10.58;-0.00;-0.03;-0.10
2.88;1.50;-10.70;0.02;0.02;-0.03
2.73;1.61;-10.53;-0.06;-0.08;-0.02
2.61;1.79;-10.32;-0.01;-0.11;-0.10
1.32;1.42;-10.40;-0.02;-0.55;-0.31
1.23;0.75;-10.54;-0.03;-0.20;-0.05
2.78;0.83;-11.28;-0.00;-0.02;-0.12
2.84;1.83;-10.14;-0.42;0.47;-0.20
3.06;1.54;-10.29;0.36;-0.18;0.11
3.75;2.45;-10.40;-0.03;0.44;0.11
3.74;2.01;-9.77;0.06;-0.36;0.08
2.98;2.17;-10.36;-0.18;-0.65;0.15
3.17;2.05;-10.30;0.15;-0.02;0.09
3.15;1.58;-10.77;-0.08;-0.02;0.00
2.98;2.06;-10.42;0.04;0.07;-0.11
3.39;2.92;-10.31;-0.10;0.11;-0.28
3.81;1.60;-10.84;0.14;-0.79;-0.20
2.30;1.20;-10.66;-0.18;-0.34;-0.07
2.47;0.83;-10.54;0.18;-0.69;0.18
1.42;0.74;-10.83;-0.02;-0.53;0.13
1.10;1.07;-10.36;-0.12;-0.40;0.08
1.21;0.88;-10.89;0.01;-0.08;-0.06
1.54;0.59;-10.74;-0.19;0.41;-0.03
2.65;1.89;-10.21;-0.13;0.18;0.03
1.94;1.45;-10.96;0.14;-0.06;-0.00
2.62;1.86;-10.69;-0.00;-0.02;0.17
2.62;1.46;-10.93;0.00;-0.41;0.13
2.74;1.51;-11.20;0.02;0.21;0.22
2.30;1.45;-10.51;-0.00;-0.11;-0.14
2.49;1.09;-11.11;-0.06;-0.12;-0.10
3.21;2.02;-10.94;-0.11;0.18;-0.29
2.76;2.02;-10.00;-0.05;0.05;-0.35
3.00;1.19;-10.31;-0.05;0.06;0.09
2.38;0.78;-10.39;0.30;0.54;0.42
1.45;0.29;-10.66;-0.00;-0.07;0.18
1.02;0.35;-11.06;-0.10;-0.79;-0.05
0.25;0.86;-10.73;-0.01;-0.01;0.02
0.25;0.26;-10.98;-0.15;-0.06;-0.26
-0.38;0.89;-9.94;-0.50;0.19;0.02
1.78;2.94;-9.89;-0.18;0.36;0.19
3.29;2.48;-10.64;0.15;0.08;0.17
3.27;2.10;-10.46;0.13;-0.04;0.11
2.51;1.79;-10.90;0.01;-0.06;0.12
3.10;1.46;-10.33;-0.22;-0.02;0.20
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
