XAcc;YAcc;ZAcc;XGyro;YGyro;ZGyro
2.29;-0.44;-10.68;0.00;-0.04;-0.01
2.28;-0.50;-10.66;-0.01;-0.08;-0.02
2.66;-0.41;-11.45;-0.06;-0.08;-0.08
2.49;0.30;-11.36;-0.48;-0.04;-0.12
2.81;0.73;-10.29;-0.12;-0.08;-0.05
1.85;1.14;-10.42;-0.05;-0.08;0.02
1.21;1.65;-9.00;-0.21;-0.16;-0.11
0.97;0.85;-10.81;0.34;-0.28;0.04
2.48;-0.48;-10.96;0.27;0.62;-0.05
2.72;0.22;-10.76;0.21;0.00;-0.03
2.53;-0.95;-11.00;0.44;0.44;0.14
3.20;-1.75;-11.72;0.00;-0.35;0.03
2.49;-1.20;-11.85;-0.29;-0.29;-0.13
2.76;-0.15;-11.32;-0.50;-0.04;-0.17
2.10;0.23;-10.32;-0.29;-0.31;0.00
1.71;1.63;-10.31;-0.29;-0.23;-0.04
1.36;1.70;-9.56;-0.23;-0.20;-0.09
1.28;1.92;-9.62;0.03;-0.26;0.03
1.41;1.09;-10.14;0.31;0.08;-0.04
1.75;0.29;-10.70;0.55;0.09;-0.06
2.54;-0.70;-11.43;0.41;-0.11;0.08
2.53;-1.69;-11.36;0.45;0.08;0.11
2.97;-2.15;-11.47;0.06;-0.16;0.04
2.72;-1.92;-10.80;-0.30;-0.32;-0.11
2.88;-0.96;-12.20;-0.52;0.03;-0.20
2.60;0.14;-10.32;-0.55;-0.34;-0.11
1.27;1.29;-9.82;-0.18;-0.12;-0.07
1.37;1.47;-9.84;-0.28;-0.23;-0.05
0.41;2.16;-9.13;0.15;-0.03;-0.00
1.11;1.26;-10.74;0.36;0.32;0.15
2.76;-0.13;-10.64;0.33;-0.43;0.13
2.76;-1.23;-11.21;0.36;-0.11;0.20
3.14;-2.03;-11.26;0.33;0.47;0.07
